id,name,minPrice,maxPrice,typologies,minSaleableArea,maxSaleableArea,micromarket,possessionDate,propscore,popularity,projectStatus,city,slug,image,type,developerId,developerName,landArea,micromarketId,alt,latitude,longitude,metroProximity,developerGrade,petPark,squash,pharmacy,basketball,heatedPool,unitDensity,micromarketPriceAverage
611,Whispers Of The Wind,9600000,9600000,['Square'],1200,1200,Nandi Hills,2029-12-30T18:30:00.000Z,4.38,Z,available,Bengaluru,whispers-of-the-wind-nandi-hills,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/611-whispers-of-the-wind-nandi-hills/views-3DRender-1.png,Plot,93,Divyasree Developers,36.0,21,Whispers Of The Wind Nandi Hills Bengaluru Views,13.34714122844642,77.66566236622815,24.84,B,1,1,0,0,0,6,6807
192,The Green Valley Address,6411600,8548800,['Square'],2340,3120,Kengeri,2022-10-06T13:00:00.000Z,4.13,Z,soldOut,Bengaluru,the-green-valley-address-kengeri,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/192-the-green-valley-address-kengeri/views-2.webp,Plot,131,Address Makers,40.0,90,The Green Valley Address Kengeri Bengaluru Views,12.892012596130373,77.47398376464844,2.91,B,0,0,0,1,0,10,5118
132,Adarsh Savana Phase 1,6700000,8250000,['Square'],1200,1500,Yelahanka,2023-10-30T13:00:00.000Z,4.0,Z,soldOut,Bengaluru,adarsh-savana-phase-1-yelahanka,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/132-adarsh-savana-phase-1-yelahanka/views-2.webp,Plot,8,Adarsh Developers,143.0,11,Adarsh Savana Phase 1 Yelahanka Bengaluru Views,13.208821296691896,77.60375213623047,8.11,A,1,0,0,1,0,12,9472
190,The Imperial Address ,5151000,6352000,['Square'],1200,1500,Anekal,2024-12-30T13:00:00.000Z,4.0,Z,available,Bengaluru,the-imperial-address-anekal,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/190-the-imperial-address-anekal/views-2.webp,Plot,131,Address Makers,36.0,91,The Imperial Address  Anekal Bengaluru Views,12.74098300933838,77.7088623046875,7.47,B,0,0,0,0,0,14,5217
367,Brigade Oasis - Phase 3,8040000,8040000,['Square'],1200,1200,Devanahalli,2025-06-29T13:00:00.000Z,3.88,Z,soldOut,Bengaluru,brigade-oasis-phase-3-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/367-brigade-oasis-phase-3-devanahalli/views-2.webp,Plot,10,Brigade Group,70.0,17,Brigade Oasis - Phase 3 Devanahalli Bengaluru Views,13.268251419067385,77.66781616210938,13.39,G,1,1,0,0,0,14,6822
242,Prestige Park Grove,8554000,8762000,['1BHK'],658,674,Sai Baba Ashram Road,2027-12-30T13:00:00.000Z,3.86,Z,soldOut,Bengaluru,prestige-park-grove-sai-baba-ashram-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/242-prestige-park-grove-sai-baba-ashram-road/views-2.webp,Apartment,2,Prestige Constructions,71.5,38,Prestige Park Grove Sai Baba Ashram Road Bengaluru Views,13.019536972045898,77.75736999511719,3.19,G,1,0,0,1,0,52,14263
145,Cielo at Brigade Valencia,5947900,9804900,"['1BHK', '2BHK']",586,966,Electronic City,2027-12-30T13:00:00.000Z,3.79,Z,soldOut,Bengaluru,cielo-at-brigade-valencia-electronic-city,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/145-cielo-at-brigade-valencia-electronic-city/views-2.webp,Apartment,10,Brigade Group,24.56,80,Cielo at Brigade Valencia Electronic City Bengaluru Views,12.805368423461914,77.69965362548828,0.92,G,1,1,0,0,0,27,9654
253,Purva Tivoli hills,9850000,9850000,['Square'],1200,1200,Devanahalli,2026-06-29T13:00:00.000Z,3.75,Z,available,Bengaluru,purva-tivoli-hills-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/253-purva-tivoli-hills-devanahalli/views-2.webp,Plot,16,Purvankara Limited,61.64,17,Purva Tivoli hills Devanahalli Bengaluru Views,13.260526657104492,77.70849609375,8.69,G,1,1,0,0,0,14,6822
310,Mahindra Eden,5400000,5400000,['1BHK'],600,600,Kanakapura Road,2027-07-29T13:00:00.000Z,3.71,Z,soldOut,Bengaluru,mahindra-eden-kanakapura-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/310-mahindra-eden-kanakapura-road/views-2.webp,Apartment,162,Mahindra Lifespaces,7.73,83,Mahindra Eden Kanakapura Road Bengaluru Views,12.869000434875488,77.54309844970703,1.57,A,1,1,0,0,0,68,12276
317,Parkwest 2.0,9778200,9778200,['1BHK'],758,758,Binnypet,2026-12-30T13:00:00.000Z,3.71,Z,available,Bengaluru,parkwest-20-binnypet,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/317-parkwest-20-binnypet/views-2.webp,Apartment,165,Shapoorji Pallonji Group,52.8,7,Parkwest 2.0 Binnypet Bengaluru Views,12.96621799468994,77.56047058105469,2.88,A,1,1,0,1,0,46,13538
47,Mantri Manyata Energia,8032000,8032000,['2.5BHK'],1255,1255,Thanisandra Road,2023-02-27T13:00:00.000Z,3.64,Z,soldOut,Bengaluru,mantri-manyata-energia-thanisandra-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/47-mantri-manyata-energia-thanisandra-road/views-2.webp,Apartment,11,Mantri Developers,11.4,13,Mantri Manyata Energia Thanisandra Road Bengaluru Views,13.058277130126951,77.6220474243164,3.23,D,0,0,1,0,0,39,11033
71,Salarpuria sattva park cubix,7442386,7442386,['2BHK'],911,911,Devanahalli,2022-12-29T13:00:00.000Z,3.64,Z,soldOut,Bengaluru,salarpuria-sattva-park-cubix-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/71-salarpuria-sattva-park-cubix-devanahalli/views-2.webp,Apartment,14,Sattva Group,18.45,17,Salarpuria sattva park cubix Devanahalli Bengaluru Views,13.242047309875488,77.72095489501953,8.19,A,0,1,0,1,0,88,9452
498,Embassy Verde,5560940,9829050,"['1BHK', '2.5BHK', '2BHK']",628,1110,Devanahalli,2030-12-30T18:30:00.000Z,3.57,Z,available,Bengaluru,embassy-verde-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/498-embassy-verde-devanahalli/views-amenities-0.webp,Apartment,21,Embassy Group,9.53,17,Embassy Verde Devanahalli Bengaluru Views,13.206154,77.614342,7.54,A,1,0,0,1,0,110,9452
581,Brigade Lakecrest,6000000,9600000,"['1BHK', 'Studio']",482,814,Krishnarajapuram,2030-03-30T18:30:00.000Z,3.57,Z,available,Bengaluru,brigade-lakecrest-krishnarajapuram,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/581-brigade-lakecrest-krishnarajapuram/views-3DRender-0.webp,Apartment,10,Brigade Group,5.3,32,Brigade Lakecrest Krishnarajapuram Bengaluru Views,13.023582685164843,77.716383934021,5.87,G,1,0,0,0,0,114,10498
182,Purva Land Tivoli Hills Phase 1,7680000,9600000,['Square'],1200,1500,Devanahalli,2026-06-29T13:00:00.000Z,3.5,Z,available,Bengaluru,purva-land-tivoli-hills-phase-1-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/182-purva-land-tivoli-hills-phase-1-devanahalli/views-2.webp,Plot,16,Purvankara Limited,60.0,17,Purva Land Tivoli Hills Phase 1 Devanahalli Bengaluru Views,13.258258819580078,77.7085189819336,8.66,G,1,0,1,0,0,14,6822
227,Sattva Misty Charm,5840600,6423600,['1BHK'],551,606,Kanakapura Road,2023-10-30T13:00:00.000Z,3.5,Z,soldOut,Bengaluru,sattva-misty-charm-kanakapura-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/227-sattva-misty-charm-kanakapura-road/views-2.webp,Apartment,14,Sattva Group,10.0,83,Sattva Misty Charm Kanakapura Road Bengaluru Views,12.8641996383667,77.54317474365234,2.13,A,0,0,0,1,0,80,12276
356,Nikoo Homes VI,6060172,9425501,"['1BHK', 'Studio']",470,731,Kogilu,2029-01-30T13:00:00.000Z,3.5,Z,soldOut,Bengaluru,nikoo-homes-vi-kogilu,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/356-nikoo-homes-vi-kogilu/views-2.webp,Apartment,23,Bhartiya City Developers,8.0,15,Nikoo Homes VI Kogilu Bengaluru Views,13.104792594909668,77.60908508300781,1.42,B,0,1,0,0,0,46,10983
569,Lagos by Bricks and Milestones,7432897,9291121,['Square'],1200,1500,Devanahalli,2027-12-30T18:30:00.000Z,3.5,Z,available,Bengaluru,lagos-by-bricks-and-milestones-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/569-lagos-by-bricks-and-milestones-devanahalli/views-3DRender-0.webp,Plot,92,Bricks and Milestones,25.0,17,Lagos by Bricks and Milestones Devanahalli Bengaluru Views,13.299556,77.566031,27.37,C,1,0,0,0,0,12,6822
618,Sammy's Palm Hills,8400000,8400000,['Square'],1200,1200,Nandi Hills,2022-12-29T18:30:00.000Z,3.5,Z,available,Bengaluru,sammys-palm-hills-nandi-hills,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/618-sammys-palm-hills-nandi-hills/views-3DRender-0.png,Plot,147,Sammy,31.6,21,Sammy's Palm Hills Nandi Hills Bengaluru Views,13.353322,77.721015,22.96,C,0,0,0,0,0,14,6807
648,Arvind The Park,9600000,9600000,['Square'],1200,1200,Devanahalli,2029-12-30T18:30:00.000Z,3.5,Z,available,Bengaluru,arvind-the-park-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/648-arvind-the-park-devanahalli/views-3DRender-0.png,Plot,46,Arvind Smartspaces,22.46,17,Arvind The Park Devanahalli Bengaluru Views,13.254691,77.604248,15.16,A,1,0,0,1,0,15,6822
28,"Embassy Springs - Phase 2A, Apartments",8274850,8842650,['2BHK'],991,1059,Devanahalli,2023-11-27T13:00:00.000Z,3.43,Z,soldOut,Bengaluru,embassy-springs-phase-2a-apartments-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/28-embassy-springs-phase-2a-apartments-devanahalli/views-2.webp,Apartment,21,Embassy Group,288.0,17,"Embassy Springs - Phase 2A, Apartments Devanahalli Bengaluru Views",13.208698272705078,77.61673736572266,8.57,A,0,1,0,0,0,11,9452
604,Casagrand Estancia,8512000,8512000,['1BHK'],950,950,Kogilu,2030-10-18T18:30:00.000Z,3.43,Z,available,Bengaluru,casagrand-estancia-kogilu,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/604-casagrand-estancia-kogilu/views-3DRender-0.png,Apartment,20,Casagrand Builder Private Limited,7.32,15,Casagrand Estancia Kogilu Bengaluru Views,13.109667,77.62648,3.69,B,1,0,0,1,0,59,10983
689,Brigade Belvedere Phase 1,9500000,9500000,['1BHK'],715,715,Budigere Cross,2031-03-31T00:00:00.000Z,3.43,Z,available,Bengaluru,brigade-belvedere-phase-1,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/689-brigade-belvedere-phase-1/amenities-1.jpg,Apartment,10,Brigade Group,10.75,62,Brigade Belvedere Phase 1 Budigere Cross Bengaluru Views,13.0488,77.7486,11.38,G,1,1,0,0,0,72,10516
137,Address makers The Classic Bulwark Village,7200000,7200000,['Square'],1200,1200,Devanahalli,2022-01-19T13:00:00.000Z,3.38,Z,available,Bengaluru,address-makers-the-classic-bulwark-village-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/137-address-makers-the-classic-bulwark-village-devanahalli/views-2.webp,Plot,8,Adarsh Developers,25.0,17,Address makers The Classic Bulwark Village Devanahalli Bengaluru Views,13.229939460754396,77.71772766113281,9.08,A,0,1,0,0,0,12,6822
261,Orchid Nirvana 3.0,6960000,8700000,['Square'],1200,1500,Devanahalli,2027-03-30T13:00:00.000Z,3.38,Z,soldOut,Bengaluru,orchid-nirvana-30-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/261-orchid-nirvana-30-devanahalli/views-2.webp,Plot,53,Goyal & Co | Hariyana Group,38.41,17,Orchid Nirvana 3.0 Devanahalli Bengaluru Views,13.235735893249512,77.70092010498047,6.29,B,1,1,0,0,0,18,6822
282,Soahan Serenity,6629864,8272000,['Square'],1200,1500,Hoskote,2025-12-30T13:00:00.000Z,3.38,Z,available,Bengaluru,soahan-serenity-hoskote,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/282-soahan-serenity-hoskote/views-2.webp,Plot,154,Space Properties,30.04,59,Soahan Serenity Hoskote Bengaluru Views,13.001033782958984,77.795166015625,7.97,D,1,0,0,0,0,15,8567
51,Nikoo Homes II East,6572000,9487000,['1BHK'],620,895,Thanisandra Road,2021-12-29T13:00:00.000Z,3.36,Z,soldOut,Bengaluru,nikoo-homes-ii-east-thanisandra-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/51-nikoo-homes-ii-east-thanisandra-road/views-2.webp,Apartment,23,Bhartiya City Developers,34.275,13,Nikoo Homes II East Thanisandra Road Bengaluru Views,13.08159065246582,77.64036560058594,6.15,B,0,1,1,0,0,70,11033
52,Prestige Finsbury Park - Hyde,6266200,9476900,"['1BHK', '2BHK']",646,977,Bagalur,2024-03-29T18:30:00.000Z,3.36,Z,available,Bengaluru,prestige-finsbury-park-hyde-bagalur,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/52-prestige-finsbury-park-hyde-bagalur/views-2.webp,Apartment,2,Prestige Constructions,25.0,18,Prestige Finsbury Park - Hyde Bagalur Bengaluru Views,13.142901420593262,77.68456268310547,9.48,G,0,0,1,1,0,58,9166
157,DSR Parkway,7337000,7337000,['1BHK'],667,667,Sarjapur Road,2025-10-29T13:00:00.000Z,3.36,Z,available,Bengaluru,dsr-parkway-sarjapur-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/157-dsr-parkway-sarjapur-road/views-2.webp,Apartment,40,DSR Infrastructure Private Limited,10.65,68,DSR Parkway Sarjapur Road Bengaluru Views,12.913310050964355,77.71019744873047,2.74,B,1,1,0,0,0,68,11384
344,Dioro Beryl At Brigade El Dorado,9141748,9999980,"['2BHK', '3BHK']",938,1026,Bagalur,2028-06-29T13:00:00.000Z,3.36,Z,soldOut,Bengaluru,dioro-beryl-at-brigade-el-dorado-bagalur,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/344-dioro-beryl-at-brigade-el-dorado-bagalur/views-2.webp,Apartment,10,Brigade Group,50.0,18,Dioro Beryl At Brigade El Dorado Bagalur Bengaluru Views,13.14430332183838,77.68444061279297,8.47,G,1,0,1,1,0,27,9166
575,Trifecta Vanto Phase-1,7537018,7537018,['1BHK'],715,715,Kodathi,2027-08-30T18:30:00.000Z,3.36,Z,available,Bengaluru,trifectavantophase-1-kodathi,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/575-trifectavantophase-1-kodathi/views-3DRender-0.webp,Apartment,227,Trifecta Projects Private Limited,12.5,67,Trifecta Vanto Phase-1 Kodathi Bengaluru Views,12.880757277999384,77.71537779886503,3.0,C,1,1,0,1,0,82,11756
588,Bhartiya Garden Estate Phase-1,6700000,9400000,"['1BHK', 'Studio']",559,793,Yelahanka,2030-08-30T18:30:00.000Z,3.36,Z,available,Bengaluru,bhartiya-garden-estate-phase-1-yelahanka,https://propsoch-bucket.s3.ap-south-1.amazonaws.com/ProjectImages/588-bhartiya-garden-estate-phase-1-yelahanka/views-3DRender-2.jpg,Apartment,23,Bhartiya City Developers,14.0,11,Bhartiya Garden Estate Phase-1 Yelahanka Bengaluru Views,13.198898468414535,77.64040231704712,3.05,B,0,0,0,1,0,54,10894
624,Sbr Global Queens Ville,9314986,9314986,['2BHK'],1039,1039,Mysore Road,2029-12-30T18:30:00.000Z,3.36,Z,available,Bengaluru,sbr-global-queens-ville-mysore-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/624-sbr-global-queens-ville-mysore-road/views-3DRender-0.jpeg,Apartment,137,SBR Infra Buildtech,8.1,98,Sbr Global Queens Ville Mysore Road Bengaluru Views,12.888396448781055,77.44287866472388,5.71,C,1,0,0,1,0,54,15412
85,Provident Equinox Phase 1,7770000,9530000,"['2BHK', '3BHK']",883,1082,Mysore Road,2022-03-30T13:00:00.000Z,3.29,Z,soldOut,Bengaluru,provident-equinox-phase-1-kumbalgodu,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/85-provident-equinox-phase-1-kumbalgodu/views-2.webp,Apartment,19,Provident Housing,60.0,98,Provident Equinox Phase 1 Mysore Road Bengaluru Views,12.884922981262209,77.47161865234375,3.38,A,0,0,0,1,0,99,15412
106,GM Global Techies Town Phase 2,7830000,7830000,['2BHK'],900,900,Electronic City,2025-03-08T13:00:00.000Z,3.29,Z,soldOut,Bengaluru,gm-global-techies-town-phase-2-electronic-city,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/106-gm-global-techies-town-phase-2-electronic-city/views-2.webp,Apartment,13,GM Developers,124.0,80,GM Global Techies Town Phase 2 Electronic City Bengaluru Views,12.822068214416504,77.66398620605469,4.47,D,1,0,1,1,0,34,9654
